name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2024-03-20,13.3,3.3,7.2,13.3,0.5,5.6,-0.9,57.6,0.021,100,4.17,rain,0,0,76.1,19.5,261.4,1005.5,88,16,76.3,6.5,3,10,2024-03-20T06:58:27,2024-03-20T19:08:50,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-21,6.1,-0.7,2.8,4.3,-4.5,0.1,-11,36.4,0,0,0,,0,0,64.4,31.7,288.1,1019.1,8,16,255.3,22.2,9,10,2024-03-21T06:56:48,2024-03-21T19:09:54,0.38,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-22,6.2,-1.2,2.4,4.6,-4.1,-0.1,-7.9,47.7,0,0,0,,0,0,53.6,14.8,210.1,1028,41.5,15.9,194.6,16.8,8,10,2024-03-22T06:55:09,2024-03-22T19:10:58,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-23,11,3.8,6.4,11,-0.1,3.9,4.3,86.5,4.74,100,66.67,rain,0,0,61.2,34.2,36.4,1012.1,100,10.9,15.3,1.3,1,10,2024-03-23T06:53:29,2024-03-23T19:12:01,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-24,9.8,0.6,4.6,8.8,-1.9,1.9,-7.1,44.1,0,0,0,,0,0,59,22,41.8,1023.3,0.4,16,254,21.9,8,10,2024-03-24T06:51:50,2024-03-24T19:13:05,0.48,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-25,11.6,2.8,6.5,11.6,-1.9,3.5,-4,47.8,0,0,0,,0,0,72,31.1,42.3,1030.2,0.4,15.7,255.5,22,8,10,2024-03-25T06:50:10,2024-03-25T19:14:08,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-26,11.1,4.3,7.4,11.1,0,5.2,-0.1,60.2,0,0,0,,0,0,37.1,23.9,59,1023.3,90.3,16,161.3,13.9,7,10,2024-03-26T06:48:31,2024-03-26T19:15:11,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-27,9.1,5.6,7.4,9.1,2.9,6,4.3,80.9,0.054,100,8.33,rain,0,0,66.6,13,30.8,1019.6,100,13.2,51.2,4.5,3,10,2024-03-27T06:46:52,2024-03-27T19:16:15,0.58,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-28,9.4,7.3,8.6,9.4,5.5,7.7,7.1,90.5,2.268,100,87.5,rain,0,0,38.9,13.3,349.4,1014.3,99.1,13.2,26.8,2.4,1,10,2024-03-28T06:45:12,2024-03-28T19:17:18,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KJRB,F8726,F1417,KNYC,72503014732"
"New York City,USA",2024-03-29,13.7,5.7,8.8,13.7,3.7,8.2,-4.3,40.7,0,0,0,,0,0,61.6,17.7,315.9,1007.8,19.2,15.9,261.6,22.7,9,10,2024-03-29T06:43:34,2024-03-29T19:18:21,0.65,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-30,16.1,5,9.8,16.1,3,9.1,-2.6,44.3,0.038,100,4.17,rain,0,0,66.2,25.4,278.3,1008.6,30.9,15.9,240.1,20.8,9,10,2024-03-30T06:41:55,2024-03-30T19:19:24,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-31,17.1,8.4,12.2,17.1,7,11.8,1.8,52.1,0.147,100,8.33,rain,0,0,35.3,18.3,264.9,1011.4,23,16,246.7,21.4,9,10,2024-03-31T06:40:16,2024-03-31T19:20:27,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-01,11.8,8.9,10.3,11.8,6.9,9.6,2.8,60.6,0.028,100,4.17,rain,0,0,46.4,20.1,38.9,1014.7,73.2,16,54.6,4.6,2,10,2024-04-01T06:38:38,2024-04-01T19:21:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-02,9.4,6.7,8,9.4,2.9,5.8,5.9,86.8,2.404,100,58.33,rain,0,0,40.7,26.7,46.5,1013.6,81.7,11.8,36.5,3.2,2,10,2024-04-02T06:37:00,2024-04-02T19:22:32,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-03,6.7,5.6,6,3.7,-0.1,1.4,4.6,90.6,2.15,100,87.5,rain,0,0,64.7,43.7,47.2,1004.3,100,8.1,19.9,1.8,1,10,2024-04-03T06:35:22,2024-04-03T19:23:35,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-04,10.5,3.8,6.6,10.5,-0.9,4.5,1.9,73.6,0.37,100,29.17,rain,0,0,64.2,40.8,25.4,995.7,96.2,14.5,157,13.7,9,10,2024-04-04T06:33:45,2024-04-04T19:24:38,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-05,9.9,4.3,6.9,8.9,1.3,5.1,-0.9,59,0,0,0,,0,0,53.6,15,284.3,1003.8,79.5,15.9,138.4,12.1,7,10,2024-04-05T06:32:08,2024-04-05T19:25:41,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-06,12.1,5.7,8.4,12.1,3.5,7.5,-1,52.8,0,0,0,,0,0,51.7,13.3,325.2,1009.5,86.6,15.9,124.6,10.7,5,10,2024-04-06T06:30:31,2024-04-06T19:26:44,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-07,15.6,6.2,9.8,15.6,3.8,9.2,-0.1,51.6,0,0,0,,0,0,45.3,22.2,24.5,1017.6,48.9,16,223.1,19.5,10,10,2024-04-07T06:28:55,2024-04-07T19:27:47,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-04-08,18.8,6.7,11.7,18.8,4.1,11.1,-0.3,47.2,0,0,0,,0,0,20.5,14,262.1,1021,14.6,16,222.3,19.1,10,10,2024-04-08T06:27:20,2024-04-08T19:28:49,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
